Symbol,Date,Open,High,Low,Adj Close,Volume
AAPL,17/08/2016,109.099998,109.370003,108.339996,107.32682,25356000
AAPL,16/08/2016,109.629997,110.230003,109.209999,107.48403200000001,33794400
AAPL,15/08/2016,108.139999,109.540001,108.08000200000001,107.582306,25868200
AAPL,12/08/2016,107.779999,108.440002,107.779999,106.30483999999998,18660400
AAPL,11/08/2016,108.519997,108.93,107.849998,106.059174,27484500
AAPL,10/08/2016,108.709999,108.900002,107.760002,106.12796000000002,24008500
AAPL,09/08/2016,108.230003,108.940002,108.010002,106.92392,26315200
AAPL,08/08/2016,107.519997,108.370003,107.160004,106.491547,28037200
AAPL,05/08/2016,106.269997,107.650002,106.18,105.61696599999999,40553400
AAPL,04/08/2016,105.58000200000001,106.0,105.279999,104.034889,27408700
AAPL,03/08/2016,104.809998,105.839996,104.769997,103.396149,30202600
AAPL,02/08/2016,106.050003,106.07,104.0,102.115791,33816600
AAPL,01/08/2016,104.410004,106.150002,104.410004,103.650261,38167900
AAPL,29/07/2016,104.190002,104.550003,103.68,101.85189799999999,27733700
AAPL,28/07/2016,102.83000200000001,104.449997,102.82,101.978951,39869800
AAPL,27/07/2016,104.269997,104.349998,102.75,100.62041500000001,92344800
AAPL,26/07/2016,96.82,97.970001,96.41999799999999,94.48252099999999,56239800
AAPL,25/07/2016,98.25,98.839996,96.91999799999999,95.137352,40382900
AAPL,22/07/2016,99.260002,99.300003,98.309998,96.42749,28313700
AAPL,21/07/2016,99.83000200000001,101.0,99.129997,97.18006899999999,32702000
AAPL,20/07/2016,100.0,100.459999,99.739998,97.698074,26276000
AAPL,19/07/2016,99.559998,100.0,99.339996,97.610107,23779900
AAPL,18/07/2016,98.699997,100.129997,98.599998,97.571014,36493900
AAPL,15/07/2016,98.91999799999999,99.300003,98.5,96.544777,30137000
AAPL,14/07/2016,97.389999,98.989998,97.32,96.554558,38919000
AAPL,13/07/2016,97.410004,97.66999799999999,96.839996,94.678001,25892200
AAPL,12/07/2016,97.16999799999999,97.699997,97.120003,95.215546,24167500
AAPL,11/07/2016,96.75,97.650002,96.730003,94.7855,23794900
AAPL,08/07/2016,96.489998,96.889999,96.050003,94.492294,28912100
AAPL,07/07/2016,95.699997,96.5,95.620003,93.76904300000001,25139600
AAPL,06/07/2016,94.599998,95.660004,94.370003,93.368317,30949100
AAPL,05/07/2016,95.389999,95.400002,94.459999,92.840523,27705200
AAPL,01/07/2016,95.489998,96.470001,95.33000200000001,93.720169,26026500
AAPL,30/06/2016,94.440002,95.769997,94.300003,93.436729,35836400
AAPL,29/06/2016,93.970001,94.550003,93.629997,92.263885,36531000
AAPL,28/06/2016,92.900002,93.660004,92.139999,91.47221400000001,40444900
AAPL,27/06/2016,93.0,93.050003,91.5,89.957291,45489600
AAPL,24/06/2016,92.910004,94.660004,92.650002,91.286514,75311400
AAPL,23/06/2016,95.940002,96.290001,95.25,93.925415,32240200
AAPL,22/06/2016,96.25,96.889999,95.349998,93.38787099999999,29219100
AAPL,21/06/2016,94.940002,96.349998,94.68,93.739723,35546400
AAPL,20/06/2016,96.0,96.57,95.029999,92.948044,34411900
AAPL,17/06/2016,96.620003,96.650002,95.300003,93.172836,61008200
AAPL,16/06/2016,96.449997,97.75,96.07,95.342613,31326800
AAPL,15/06/2016,97.82,98.410004,97.029999,94.941887,29445200
AAPL,14/06/2016,97.32,98.480003,96.75,95.254646,31931900
AAPL,13/06/2016,98.690002,99.120003,97.099998,95.137352,38020500
AAPL,10/06/2016,98.529999,99.349998,98.480003,96.593636,31712900
AAPL,09/06/2016,98.5,99.989998,98.459999,97.395081,26601400
AAPL,08/06/2016,99.019997,99.559998,98.68,96.701157,20848100
AAPL,07/06/2016,99.25,99.870003,98.959999,96.789108,22409500
AAPL,06/06/2016,97.989998,101.889999,97.550003,96.398163,23292500
AAPL,03/06/2016,97.790001,98.269997,97.449997,95.704224,28062900
AAPL,02/06/2016,97.599998,97.839996,96.629997,95.508759,40191600
AAPL,01/06/2016,99.019997,99.540001,98.33000200000001,96.232025,29173300
AAPL,31/05/2016,99.599998,100.400002,98.82,97.600334,42307200
AAPL,27/05/2016,99.440002,100.470001,99.25,98.079239,36229500
AAPL,26/05/2016,99.68,100.730003,98.639999,98.137901,56331200
AAPL,25/05/2016,98.66999799999999,99.739998,98.110001,97.36576099999999,38168800
AAPL,24/05/2016,97.220001,98.089996,96.839996,95.684692,35140200
AAPL,23/05/2016,95.870003,97.190002,95.66999799999999,94.24794,38018600
AAPL,20/05/2016,94.639999,95.43,94.519997,93.065338,32026000
AAPL,19/05/2016,94.639999,94.639999,93.57,92.068405,30442100
AAPL,18/05/2016,94.160004,95.209999,93.889999,92.420265,42062400
AAPL,17/05/2016,94.550003,94.699997,93.010002,91.37447399999999,46916900
AAPL,16/05/2016,92.389999,94.389999,91.650002,91.75565300000001,61259800
AAPL,13/05/2016,90.0,91.66999799999999,90.0,88.47168,44392800
AAPL,12/05/2016,92.720001,92.779999,89.470001,88.295753,76314700
AAPL,11/05/2016,93.480003,93.57,92.459999,90.416656,28719100
AAPL,10/05/2016,93.33000200000001,93.57,92.110001,91.306053,33686800
AAPL,09/05/2016,93.0,93.769997,92.589996,90.690315,32936400
AAPL,06/05/2016,93.370003,93.449997,91.849998,90.621895,43458200
AAPL,05/05/2016,94.0,94.07,92.68,91.130135,35890500
AAPL,04/05/2016,95.199997,95.900002,93.82,91.501541,41025500
AAPL,03/05/2016,94.199997,95.739998,93.68,92.46328000000001,56831300
AAPL,02/05/2016,93.970001,94.08000200000001,92.400002,90.967239,48160100
AAPL,29/04/2016,93.989998,94.720001,92.510002,91.064392,68531500
AAPL,28/04/2016,97.610001,97.879997,94.25,92.12326800000001,82242700
AAPL,27/04/2016,96.0,98.709999,95.68,95.02793100000001,114602100
AAPL,26/04/2016,103.910004,105.300003,103.910004,101.37152900000001,56016200
AAPL,25/04/2016,105.0,105.650002,104.510002,102.080704,28031600
AAPL,22/04/2016,105.010002,106.480003,104.620003,102.663574,33683100
AAPL,21/04/2016,106.93,106.93,105.519997,102.945305,31552500
AAPL,20/04/2016,106.639999,108.089996,106.059998,104.072182,30611000
AAPL,19/04/2016,107.879997,108.0,106.230003,103.858475,32384900
AAPL,18/04/2016,108.889999,108.949997,106.940002,104.412193,60834000
AAPL,15/04/2016,112.110001,112.300003,109.730003,106.714546,46939000
AAPL,14/04/2016,111.620003,112.389999,111.33000200000001,108.900322,25473900
AAPL,13/04/2016,110.800003,112.339996,110.800003,108.842041,33257300
AAPL,12/04/2016,109.339996,110.5,108.660004,107.28771200000001,27232300
AAPL,11/04/2016,108.970001,110.610001,108.83000200000001,105.90823400000001,29407500
AAPL,08/04/2016,108.910004,109.769997,108.16999799999999,105.558517,23581700
AAPL,07/04/2016,109.949997,110.41999799999999,108.120003,105.441956,31801900
AAPL,06/04/2016,110.230003,110.980003,109.199997,107.79287,26404100
AAPL,05/04/2016,109.510002,110.730003,109.41999799999999,106.67568200000001,26578700
AAPL,04/04/2016,110.41999799999999,112.190002,110.269997,107.94830300000001,37356200
AAPL,01/04/2016,108.779999,110.0,108.199997,106.850548,25874000
AAPL,31/03/2016,109.720001,109.900002,108.879997,105.879097,25888400
AAPL,30/03/2016,108.650002,110.41999799999999,108.599998,106.43283100000001,45601100
AAPL,29/03/2016,104.889999,107.790001,104.879997,104.606491,31190100
AAPL,28/03/2016,106.0,106.190002,105.059998,102.187561,19411400
AAPL,24/03/2016,105.470001,106.25,104.889999,102.65385400000001,26133000
AAPL,23/03/2016,106.480003,107.07,105.900002,103.10073100000001,25703500
AAPL,22/03/2016,105.25,107.290001,105.209999,103.67388199999999,32444400
AAPL,21/03/2016,105.93,107.650002,105.139999,102.88700899999999,35502700
AAPL,18/03/2016,106.339996,106.5,105.190002,102.89672900000001,44205200
AAPL,17/03/2016,105.519997,106.470001,104.959999,102.78014399999999,34420700
AAPL,16/03/2016,104.610001,106.309998,104.589996,102.945305,38303500
AAPL,15/03/2016,103.959999,105.18,103.849998,101.594978,40067700
AAPL,14/03/2016,101.910004,102.910004,101.779999,99.593773,25076100
AAPL,11/03/2016,102.239998,102.279999,101.5,99.341187,27408200
AAPL,10/03/2016,101.410004,102.239998,100.150002,98.28229499999999,33513600
AAPL,09/03/2016,101.309998,101.58000200000001,100.269997,98.233734,27201700
AAPL,08/03/2016,100.779999,101.760002,100.400002,98.146294,31561900
AAPL,07/03/2016,102.389999,102.83000200000001,100.959999,98.96231800000001,35828900
AAPL,04/03/2016,102.370003,103.75,101.370003,100.069786,46055100
AAPL,03/03/2016,100.58000200000001,101.709999,100.449997,98.602882,36955700
AAPL,02/03/2016,100.510002,100.889999,99.639999,97.874298,33169600
